context_utt,context_freq,context_parse,response_da,response_nl1,response_nl2,response_nl3,context_utt_l,context_parse_l,response_da_l,response_nl1_l,response_nl2_l,response_nl3_l
alternative at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from? Where are you trying to go?,I need you to tell me where you come from and where you are going?,"Where are you traveling from, and where is your destination?",alternative at seven pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",request(from_stop)&request(to_stop),Where are you coming from? Where are you trying to go?,I need you to tell me where you come from and where you are going?,"Where are you traveling from, and where is your destination?"
i need a pub- public transit leaving from *STOP,1,"inform(from_stop=""*STOP"")",request(to_stop),"Yes, but where to?",To what station?,Where do you want to go?,i need a pub- public transit leaving from Union Square,"inform(from_stop=""*STOP"")",request(to_stop),"Yes, but where to?",To what station?,Where do you want to go?
*STOP to bleeker street,1,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")&request(to_stop)",So you want to leave from *FROM_STOP. Where are you going to?,"I understand that you want to leave from *FROM_STOP, but where do you want to go?",You want *FROM_STOP to where?,East Broadway to bleeker street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""East Broadway"")&request(to_stop)",So you want to leave from East Broadway. Where are you going to?,"I understand that you want to leave from East Broadway, but where do you want to go?",You want East Broadway to where?
i would like to depart *STOP and go to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),What stop are you coming from?,Where are you traveling from?,"Yes, but where would you like to go?",i would like to depart *STOP and go to Bleecker Street,"inform(to_stop=""*STOP"")",request(from_stop),What stop are you coming from?,Where are you traveling from?,"Yes, but where would you like to go?"
i need information about a *NUMBER o'clock ride but,1,"inform(departure_time=""*TIME"")","inform(vehicle=""*VEHICLE"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")","Take the line *LINE *VEHICLE from *FROM_STOP toward *DIRECTION, departing at *DEPARTURE_TIME.",You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,You can take the line *LINE of the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,i need information about a nine o'clock ride but,"inform(departure_time=""*TIME"")","inform(vehicle=""subway"")&inform(line=""4"")&inform(from_stop=""City Hall"")&inform(direction=""Washington Square"")&inform(departure_time=""9:14pm"")","Take the line 4 subway from City Hall toward Washington Square, departing at 9:14pm.",You can use subway 4 at 9:14pm from City Hall to Washington Square.,You can take the line 4 of the subway from City Hall to Washington Square at 9:14pm.
i wanna leave at *NUMBER *AMPM by *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),From where to where do you want to go?,Where are you going from and to?,I need further information. Can you let me know where you are originating from and to where is your destination?,i wanna leave at ten am by subway,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",request(from_stop)&request(to_stop),From where to where do you want to go?,Where are you going from and to?,I need further information. Can you let me know where you are originating from and to where is your destination?
and i'm going to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",You are going to *TO_STOP. Apologies information not found.,"I'm sorry, a connection to *TO_STOP was not found.",I did not find a route to *TO_STOP.,and i'm going to Essex Street,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""Essex Street"")",You are going to Essex Street. Apologies information not found.,"I'm sorry, a connection to Essex Street was not found.",I did not find a route to Essex Street.
what time would i arrive,1,request(arrival_time),"inform(arrival_time=""*ARRIVAL_TIME"")",You will arrive at *ARRIVAL_TIME.,You will arrive at *ARRIVAL_TIME.,You will reach your destination at *ARRIVAL_TIME.,what time would i arrive,request(arrival_time),"inform(arrival_time=""7:08am"")",You will arrive at 7:08am.,You will arrive at 7:08am.,You will reach your destination at 7:08am.
i want to go from *STOP,3,"inform(from_stop=""*STOP"")","inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(from_stop=""*FROM_STOP"")",There's a *VEHICLE on line *LINE at *DEPARTURE_TIME traveling from *FROM_STOP to *DIRECTION.,Take the *VEHICLE *LINE direction *DIRECTION from *FROM_STOP at *DEPARTURE_TIME.,"Yes, *VEHICLE line *LINE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.",i want to go from Union Square,"inform(from_stop=""*STOP"")","inform(line=""5"")&inform(direction=""Lincoln Center"")&inform(vehicle=""subway"")&inform(departure_time=""4:08pm"")&inform(from_stop=""Union Square"")",There's a subway on line 5 at 4:08pm traveling from Union Square to Lincoln Center.,Take the subway 5 direction Lincoln Center from Union Square at 4:08pm.,"Yes, subway line 5 from Union Square to Lincoln Center at 4:08pm."
what time will i reach my destination,2,request(arrival_time),"inform(arrival_time=""*ARRIVAL_TIME"")",Arrival time is *ARRIVAL_TIME.,You will reach your destination at *ARRIVAL_TIME.,You'll reach it *ARRIVAL_TIME.,what time will i reach my destination,request(arrival_time),"inform(arrival_time=""4:16pm"")",Arrival time is 4:16pm.,You will reach your destination at 4:16pm.,You'll reach it 4:16pm.
how long,3,request(distance),"inform(distance=""*DISTANCE"")",The journey is *DISTANCE long.,It is *DISTANCE long.,Your journey is *DISTANCE long.,how long,request(distance),"inform(distance=""0.6 miles"")",The journey is 0.6 miles long.,It is 0.6 miles long.,Your journey is 0.6 miles long.
yes i want to depart from *STOP yes,1,"confirm(from_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(direction=""*DIRECTION"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(departure_time=""*DEPARTURE_TIME"")","At *DEPARTURE_TIME by *VEHICLE line *LINE, from *FROM_STOP direction *DIRECTION.","From *FROM_STOP, take *VEHICLE line *LINE at *DEPARTURE_TIME to *DIRECTION.",Take *VEHICLE *LINE from *FROM_STOP at *DEPARTURE_TIME to *DIRECTION.,yes i want to depart from Wall Street yes,"confirm(from_stop=""*STOP"")","inform(vehicle=""subway"")&inform(direction=""Columbus Circle"")&inform(line=""Q"")&inform(from_stop=""Wall Street"")&inform(departure_time=""9:05am"")","At 9:05am by subway line Q, from Wall Street direction Columbus Circle.","From Wall Street, take subway line Q at 9:05am to Columbus Circle.",Take subway Q from Wall Street at 9:05am to Columbus Circle.
is there an alternative route at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")&inform(line=""*LINE"")&inform(from_stop=""*FROM_STOP"")&inform(vehicle=""*VEHICLE"")","Take the line *LINE *VEHICLE from *FROM_STOP towards *DIRECTION, departing at *DEPARTURE_TIME.",You can use *VEHICLE *LINE at *DEPARTURE_TIME from *FROM_STOP to *DIRECTION.,"At *DEPARTURE_TIME, take *VEHICLE line *LINE from *FROM_STOP to *DIRECTION.",is there an alternative route at four pm,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform(direction=""Times Square"")&inform(departure_time=""4:02pm"")&inform(line=""7"")&inform(from_stop=""Columbia University"")&inform(vehicle=""subway"")","Take the line 7 subway from Columbia University towards Times Square, departing at 4:02pm.",You can use subway 7 at 4:02pm from Columbia University to Times Square.,"At 4:02pm, take subway line 7 from Columbia University to Times Square."
i want to change my destination to *STOP,1,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,OK but from where do you want to travel there?,What station are you coming from?,i want to change my destination to Cathedral Parkway,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,OK but from where do you want to travel there?,What station are you coming from?
is there an alternative route at *NUMBER *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")",I understand you want an alternative route from *DEPARTURE_TIME *AMPM.,I'll check for a *DEPARTURE_TIME *AMPM alternative.,"Yes, *DEPARTURE_TIME *AMPM.",is there an alternative route at two pm,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","iconfirm(departure_time=""2:00"")&iconfirm(ampm=""pm"")",I understand you want an alternative route from 2:00 pm.,I'll check for a 2:00 pm alternative.,"Yes, 2:00 pm."
arrival time,2,request(arrival_time),"inform(arrival_time=""*ARRIVAL_TIME"")",You will arrive at *ARRIVAL_TIME.,The arrival time is *ARRIVAL_TIME.,The arrival time is *ARRIVAL_TIME.,arrival time,request(arrival_time),"inform(arrival_time=""7:27am"")",You will arrive at 7:27am.,The arrival time is 7:27am.,The arrival time is 7:27am.
next connection,8,"inform(alternative=""next"")","inform_no_match(alternative=""*ALTERNATIVE"")",The next connection cannot be found.,Sorry! I cannot find a next connection.,I apologize but such a route not found for later on.,next connection,"inform(alternative=""next"")","inform_no_match(alternative=""next"")",The next connection cannot be found.,Sorry! I cannot find a next connection.,I apologize but such a route not found for later on.
from *STOP,6,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""*FROM_STOP"")",From *FROM_STOP.,Yes from *FROM_STOP.,From *FROM_STOP OK.,from Chambers Street,"inform(from_stop=""*STOP"")","iconfirm(from_stop=""Chambers Street"")",From Chambers Street.,Yes from Chambers Street.,From Chambers Street OK.
i would like a ride at *NUMBER *AMPM and would like to take the *VEHICLE,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")","iconfirm(departure_time=""*DEPARTURE_TIME"")&iconfirm(ampm=""*AMPM"")&iconfirm(vehicle=""*VEHICLE"")&request(from_stop)&request(to_stop)",You want a *VEHICLE at *DEPARTURE_TIME *AMPM. Where are you traveling from and where is your destination?,"OK, so you want a *DEPARTURE_TIME *AMPM *VEHICLE. Where are you coming from and where are you trying to get to?",I understand that you want to take the *VEHICLE at *DEPARTURE_TIME *AMPM. From where to where do you want to go?,i would like a ride at three pm and would like to take the bus,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")&inform(vehicle=""bus"")","iconfirm(departure_time=""3:00"")&iconfirm(ampm=""pm"")&iconfirm(vehicle=""bus"")&request(from_stop)&request(to_stop)",You want a bus at 3:00 pm. Where are you traveling from and where is your destination?,"OK, so you want a 3:00 evening bus. Where are you coming from and where are you trying to get to?",I understand that you want to take the bus at 3:00 pm. From where to where do you want to go?
i would like to go to *STOP,7,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,Where are you traveling from?,"Yes, but from where?",i would like to go to Grand Central,"inform(to_stop=""*STOP"")",request(from_stop),From what station?,Where are you traveling from?,"Yes, but from where?"
yes i would like to travel from *STOP to *STOP ,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""*FROM_STOP"")&inform_no_match(to_stop=""*TO_STOP"")",Sorry from *FROM_STOP to *TO_STOP is not found.,"Sorry, I cannot find from *FROM_STOP to *TO_STOP.",I apologize but such a info not found from *FROM_STOP to *TO_STOP.,yes i would like to travel from Washington Square to Rockefeller Center ,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform_no_match(from_stop=""Washington Square"")&inform_no_match(to_stop=""Rockefeller Center"")",Sorry from Washington Square to Rockefeller Center is not found.,"Sorry, I cannot find from Washington Square to Rockefeller Center.",I apologize but such a info not found from Washington Square to Rockefeller Center.
information to get from *STOP to *STOP,1,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""*VEHICLE"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(direction=""*DIRECTION"")&inform(departure_time=""*DEPARTURE_TIME"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,Take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,Take the *LINE *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME.,information to get from Union Square to Inwood,"inform(from_stop=""*STOP"")&inform(to_stop=""*STOP"")","inform(vehicle=""bus"")&inform(from_stop=""Union Square"")&inform(line=""M12"")&inform(direction=""Inwood"")&inform(departure_time=""7:08am"")",Take line M12 bus at 7:08am from Union Square direction Inwood.,Take the M12 bus from Union Square to Inwood at 7:08am.,Take the M12 bus from Union Square to Inwood at 7:08am.
but i want to go to by by *VEHICLE,1,"inform(vehicle=""*VEHICLE"")","inform(direction=""*DIRECTION"")&inform(from_stop=""*FROM_STOP"")&inform(line=""*LINE"")&inform(vehicle=""*VEHICLE"")&inform(departure_time=""*DEPARTURE_TIME"")",Take line *LINE *VEHICLE at *DEPARTURE_TIME from *FROM_STOP direction *DIRECTION.,You can take *VEHICLE *LINE from *FROM_STOP at *DEPARTURE_TIME to *DIRECTION.,You can get the *VEHICLE from *FROM_STOP to *DIRECTION at *DEPARTURE_TIME on the *LINE line.,but i want to go to by by bus,"inform(vehicle=""bus"")","inform(direction=""Columbia University"")&inform(from_stop=""Delancey Street"")&inform(line=""M60"")&inform(vehicle=""bus"")&inform(departure_time=""5:04pm"")",Take line M60 bus at 5:04pm from Delancey Street direction Columbia University.,You can take bus M60 from Delancey Street at 5:04pm to Columbia University.,You can get the bus from Delancey Street to Columbia University at 5:04pm on the M60 line.
how do i go from *STOP to *STOP,1,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","iconfirm(to_stop=""*TO_STOP"")&iconfirm(from_stop=""*FROM_STOP"")",From *FROM_STOP to *TO_STOP.,You would like to go from *FROM_STOP to *TO_STOP.,"OK, you want from *FROM_STOP to *TO_STOP.",how do i go from Cathedral Parkway to Columbus Circle,"inform(to_stop=""*STOP"")&inform(from_stop=""*STOP"")","iconfirm(to_stop=""Columbus Circle"")&iconfirm(from_stop=""Cathedral Parkway"")",From Cathedral Parkway to Columbus Circle.,You would like to go from Cathedral Parkway to Columbus Circle.,"OK, you want from Cathedral Parkway to Columbus Circle."
is there an option for *NUMBER o'clock in the *AMPM,1,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")","inform_no_match(departure_time=""*DEPARTURE_TIME"")&inform_no_match(ampm=""*AMPM"")","I'm sorry, a connection at *DEPARTURE_TIME *AMPM was not found.",I did not find info about a *DEPARTURE_TIME *AMPM option.,I apologize but such a route not found *DEPARTURE_TIME *AMPM.,is there an option for three o'clock in the afternoon,"inform(departure_time=""*TIME"")&inform(ampm=""pm"")","inform_no_match(departure_time=""3:00"")&inform_no_match(ampm=""pm"")","I'm sorry, a connection at 3:00 pm was not found.",I did not find info about a 3:00 pm option.,I apologize but such a route not found 3:00 pm.
ok i would like to go to *STOP,1,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""*TO_STOP"")",Sorry a service to *TO_STOP is not found.,"No route found to *TO_STOP, sorry.","I'm sorry, I can't find a connection to *TO_STOP.",ok i would like to go to City Hall,"inform(to_stop=""*STOP"")","inform_no_match(to_stop=""City Hall"")",Sorry a service to City Hall is not found.,"No route found to City Hall, sorry.","I'm sorry, I can't find a connection to City Hall."
