Testing connection to the update server..
i would like to get from the manhattan to the central park	i would like to get from the *BOROUGH to the *STOP	inform(to_stop="Central Park")&inform(from_borough="Manhattan")&inform(task="find_connection")	inform(to_stop="*STOP")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
i need to find a subway connection from broadway queens	i need to find a *VEHICLE connection from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
to seventh avenue and forty second street	to *STREET and *STREET	inform(to_street="7 Ave")&inform(to_street2="42 St")	inform(to_street="*STREET")&inform(to_street2="*STREET")
		silence()	silence()
broadway to seventh avenue and forty second street	*STREET to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")
broadway	*STREET	inform(street="Broadway")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
i need to find out about a subway connection	i need to find out about a *VEHICLE connection	inform(vehicle="subway")&inform(task="find_connection")	inform(vehicle="*VEHICLE")&inform(task="find_connection")
_noise_	_noise_	null()	null()
from broadway	from *STREET	inform(from_street="Broadway")	inform(from_street="*STREET")
		silence()	silence()
broadway queen	*STREET queen	inform(street="Broadway")	inform(street="*STREET")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
		silence()	silence()
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
		silence()	silence()
from broadway queens	from *STREET *BOROUGH	inform(from_street="Broadway")&inform(from_borough="Queens")	inform(from_street="*STREET")&inform(from_borough="*BOROUGH")
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
		silence()	silence()
five p m	*NUMBER *AMPM	inform(time="5:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
		silence()	silence()
		silence()	silence()
i need a subway connection from broadway queens to seventh avenue and forty second street	i need a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
i want to leave from broadway queens at five p m to seventh avenue and forty second street	i want to leave from *STREET *BOROUGH at *NUMBER *AMPM to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(departure_time="5:00")&inform(ampm="pm")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
from queens	from *BOROUGH	inform(from_borough="Queens")	inform(from_borough="*BOROUGH")
		silence()	silence()
		silence()	silence()
what time is it	what time is it	request(current_time)	request(current_time="*CURRENT_TIME")
		silence()	silence()
		silence()	silence()
sorry we didn't catch that please press one number if you don't want to use local phone please hang up now	sorry we didn't catch that please press *NUMBER number if you don't want to use local phone please hang up *TIME	deny(time_rel="now")	deny(time_rel="*TIME_REL")
		silence()	silence()
		silence()	silence()
it on our website	it on our website	null()	null()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
how many transfers are there	how many transfers are there	request(num_transfers)	request(num_transfers)
when does it leave	when does it leave	request(departure_time)	request(departure_time="*DEPARTURE_TIME")
		silence()	silence()
		silence()	silence()
can you repeat that	can you repeat that	repeat()	repeat()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
i need to find a subway connection from broadway to queens	i need to find a *VEHICLE connection from *STREET to *BOROUGH	inform(from_street="Broadway")&inform(to_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
		silence()	silence()
i need to go from broadway to seventh avenue and forty second	i need to go from *STREET to *STREET and *NUMBER second	inform(from_street="Broadway")&inform(to_street="7 Ave")	inform(from_street="*STREET")&inform(to_street="*STREET")
		silence()	silence()
i want to find a subway connection from broadway queens to seventh avenue and forty second street	i want to find a *VEHICLE connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(vehicle="subway")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
		silence()	silence()
		silence()	silence()
i want to go from broadway queens to seventh avenue and forty second street	i want to go from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
i want to go to sixth avenue	i want to go to *STREET	inform(to_street="6 Ave")&inform(task="find_connection")	inform(to_street="*STREET")&inform(task="find_connection")
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
_noise_	_noise_	null()	null()
i would like to get a connection from broadway queens to seventh avenue and forty second street	i would like to get a connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
and i would like to know the duration of the trip and find out the connections at four five p m	and i would like to know the duration of the trip and find out the connections at *NUMBER *NUMBER *AMPM	inform(time="4:05")&inform(ampm="pm")&request(duration)	inform(time="*TIME")&inform(ampm="*AMPM")&request(duration)
		silence()	silence()
		silence()	silence()
hello	hello	hello()	hello()
i would like to find a sub	i would like to find a *VEHICLE	inform(vehicle="subway")	inform(vehicle="*VEHICLE")
connection from broadway queens to seventh avenue and forty second street five p m	connection from *STREET *BOROUGH to *STREET and *STREET *NUMBER *AMPM	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(departure_time="5:00")&inform(ampm="pm")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
ok thank you	ok thank you	thankyou()&ack()	thankyou()&ack()
		silence()	silence()
the	the	null()	null()
		silence()	silence()
seventh avenue and forty second street	*STREET and *STREET	inform(street="7 Ave")&inform(street="42 St")	inform(street="*STREET")&inform(street="*STREET")
		silence()	silence()
		silence()	silence()
five p m weather in broadway	*NUMBER *AMPM weather in *STREET	inform(to_street="Broadway")&inform(time="5:00")&inform(ampm="pm")&inform(task="weather")	inform(to_street="*STREET")&inform(time="*TIME")&inform(ampm="*AMPM")&inform(task="weather")
queens	*BOROUGH	inform(borough="Queens")	inform(borough="*BOROUGH")
thank you	thank you	thankyou()	thankyou()
good bye	good bye	bye()	bye()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what if i leave at five p m	what if i leave at *NUMBER *AMPM	inform(time="5:00")&inform(ampm="pm")	inform(time="*TIME")&inform(ampm="*AMPM")
		silence()	silence()
what is the weather going to be like	what is the weather going to be like	inform(task="weather")	inform(task="weather")
		silence()	silence()
i am looking for a connection	i am looking for a connection	inform(task="find_connection")	inform(task="find_connection")
		silence()	silence()
to seventh avenue and forty second street	to *STREET and *STREET	inform(to_street="7 Ave")&inform(to_street2="42 St")	inform(to_street="*STREET")&inform(to_street2="*STREET")
i'm looking for a connection	i'm looking for a connection	inform(task="find_connection")	inform(task="find_connection")
broadway queens	*STREET *BOROUGH	inform(street="Broadway")&inform(borough="Queens")	inform(street="*STREET")&inform(borough="*BOROUGH")
yes	yes	affirm()	affirm()
yes	yes	affirm()	affirm()
thank you good bye	thank you good bye	bye()&thankyou()	bye()&thankyou()
		silence()	silence()
connection from broadway queens to seventh avenue and forty second street	connection from *STREET *BOROUGH to *STREET and *STREET	inform(from_street="Broadway")&inform(to_street="7 Ave")&inform(to_street2="42 St")&inform(from_borough="Queens")&inform(task="find_connection")	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(to_street2="*STREET")&inform(from_borough="*BOROUGH")&inform(task="find_connection")
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
		silence()	silence()
give me a call alex	give me a *CITY *CITY	inform(city="Alex")	inform(city="*CITY")
i hope you get hit by a bus	i *CITY you get hit by a *VEHICLE	inform(city="Hope")&inform(vehicle="bus")	inform(city="*CITY")&inform(vehicle="*VEHICLE")
duration the call is recorded	duration the *CITY is recorded	null()	null()
		silence()	silence()
		silence()	silence()
		silence()	silence()
what is your destination	what is your destination	request(to_stop)	request(to_stop="*STOP")
broadway queens i did not understand	*STREET *BOROUGH i did not understand	inform(street="Broadway")&inform(borough="Queens")&notunderstood()&negate()&ack()	inform(street="*STREET")&inform(borough="*BOROUGH")&notunderstood()&negate()&ack()
		silence()	silence()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
		silence()	silence()
_noise_	_noise_	null()	null()
_noise_	_noise_	null()	null()
		silence()	silence()
		silence()	silence()
new york new york	*CITY *CITY	inform(from_city="New York")&inform(to_city="New York")	inform(from_city="*CITY")&inform(to_city="*CITY")
